title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Skate 2,X360,Sports,Electronic Arts,EA Black Box,8.2,1.09,0.82,0.01,0.17,0.09,2009-01-21,
NFL Blitz 2000,PS,Sports,Midway Games,Midway Games,,1.09,0.6,,0.41,0.07,1999-08-17,
Alien: Isolation,PS4,Adventure,Sega,Creative Assembly,,1.09,0.29,0.05,0.59,0.16,2014-10-07,2018-01-05
NFL 2K1,DC,Sports,Sega,Visual Concepts,9.6,1.09,1.02,,0.05,0.02,2000-09-07,
Star Wars: Bounty Hunter,PS2,Shooter,LucasArts,LucasArts,,1.09,0.53,,0.42,0.14,2002-11-22,
Dragon Ball Z: The Legacy of Goku II,GBA,Role-Playing,Atari,Webfoot Technologies,7.6,1.09,0.78,,0.29,0.02,2003-06-17,
Untold Legends: Brotherhood of the Blade,PSP,Role-Playing,Sony Online Entertainment,Sony Online Entertainment,6.5,1.09,0.54,0.01,0.33,0.22,2005-03-22,
Star Wars: The Force Unleashed,PSP,Action,LucasArts,Krome Studios,7.1,1.09,0.43,,0.41,0.24,2008-09-16,
The Simpsons Game,PSP,Platform,Electronic Arts,EA Redwood Shores,6,1.08,0.24,,0.54,0.3,2007-11-05,
NASCAR Thunder 2004,PS2,Racing,EA Sports,EA Tiburon,,1.08,0.53,,0.41,0.14,2003-09-16,
Dante's Inferno,PS3,Action,Electronic Arts,Visceral Games,7.3,1.08,0.64,0.04,0.28,0.12,2010-02-09,
Fisherman's Bass Club,PS2,Sports,Agetec,Vingt-et-un Systems,,1.08,0.53,,0.41,0.14,2002-11-30,
Disney's Lilo & Stitch,GBA,Action,Disney Interactive Studios,Digital Eclipse,8,1.08,0.77,,0.29,0.02,2002-06-07,
Ready 2 Rumble Boxing,PS,Sports,Midway Games,Point of View,7.6,1.08,0.6,,0.41,0.07,1999-10-31,
FIFA Soccer 11,Wii,Sports,EA Sports,EA Canada,7,1.08,0.26,,0.69,0.12,2010-09-28,
Joust,2600,Platform,Atari,Atari,,1.08,1.01,,0.06,0.01,1983-01-01,
Star Fox: Assault,GC,Shooter,Nintendo,Namco,6.6,1.08,0.68,0.19,0.18,0.03,2005-02-14,
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,Platform,THQ,Big Sky Software,,1.08,0.53,,0.41,0.14,2002-11-21,
Virtua Fighter 5,PS3,Fighting,Sega,Sega-AM2,8.7,1.08,0.29,0.08,0.52,0.2,2007-02-20,
Tom Clancy's Ghost Recon 2,PS2,Shooter,Ubisoft,Red Storm Entertainment,,1.08,0.64,,0.34,0.1,2004-11-30,
Pro Evolution Soccer 2014,PS3,Sports,Konami Digital Entertainment,Konami,8.3,1.08,0.03,0.51,0.46,0.08,2013-09-24,2018-03-01
Grand Theft Auto: Chinatown Wars,PSP,Adventure,Rockstar Games,Rockstar Leeds,9.2,1.08,0.28,0.03,0.5,0.27,2009-10-20,
Dragon Ball Z: Taiketsu,GBA,Fighting,Atari,Webfoot Technologies,3.8,1.08,0.77,,0.29,0.02,2003-11-24,
Pro Evolution Soccer 2008,X360,Sports,Konami,Konami,,1.07,0.08,0.04,0.9,0.05,2008-03-12,
Spore Creatures,DS,Simulation,Electronic Arts,Foundation 9,7.2,1.07,0.66,0,0.3,0.1,2008-09-07,
Tomb Raider: Underworld,X360,Adventure,Eidos Interactive,Crystal Dynamics,7.5,1.07,0.53,0.01,0.42,0.11,2008-11-18,
Call of Duty 3,PS2,Shooter,Activision,Treyarch,8.2,1.07,0.89,,0.03,0.15,2006-11-07,
NHL 99,PS,Sports,EA Sports,EA Canada,,1.07,0.59,,0.4,0.07,1998-09-30,
MySims Agents,DS,Adventure,Electronic Arts,EA Redwood Shores,,1.07,0.54,0,0.42,0.11,2009-09-29,
Doko Demo Issyo,PS,Misc,Sony Computer Entertainment,bexide,,1.07,,1,,0.07,1999-07-22,
World Tour Soccer,PSP,Sports,Sony Computer Entertainment,SCEE London Studio,7,1.07,0.1,,0.63,0.34,2005-03-14,
Naruto: Ultimate Ninja Storm,PS3,Fighting,Namco Bandai,CyberConnect2,7.8,1.07,0.49,0.09,0.34,0.15,2008-11-04,
Skylanders Giants,PS3,Misc,Activision,Toys for Bob,,1.07,0.38,,0.52,0.18,2012-10-21,2018-01-16
Virtua Fighter,SAT,Fighting,Sega,Sega-AM2,9,1.07,0.17,0.77,0.12,0.02,1995-05-11,
Marvel vs. Capcom 3: Fate of Two Worlds,X360,Fighting,Capcom,Capcom,8.4,1.07,0.79,0.03,0.18,0.08,2011-02-15,
Imagine: Fashion Designer New York,DS,Simulation,Ubisoft,Virtual Toys / Lexis Numerique,,1.07,0.65,,0.32,0.1,2008-10-13,2018-09-17
The Biggest Loser,Wii,Sports,THQ,Blitz Games,7.7,1.07,0.86,,0.12,0.09,2009-10-06,
Championship Manager 99/00,PC,Sports,Eidos Interactive,Sports Interactive,,1.07,,,0.98,0.09,2000-01-01,
Tiger Woods PGA Tour 10,Wii,Sports,EA Sports,EA Tiburon,9,1.07,0.6,,0.37,0.1,2009-06-08,
The Orange Box,PS3,Shooter,Electronic Arts,EA UK,8.7,1.07,0.28,,0.58,0.21,2007-12-11,
WWE SmackDown vs. Raw 2010,PS2,Fighting,THQ,JAKKS Pacific,,1.07,0.53,,0.01,0.54,2009-10-20,
Hot Wheels Turbo Racing,PS,Racing,Electronic Arts,Stormfront Studios,,1.07,0.59,,0.4,0.07,1999-09-22,
LEGO Star Wars II: The Original Trilogy,DS,Action,LucasArts,Amaze Entertainment,4.9,1.07,0.96,,0.03,0.08,2006-09-12,
Ridge Racer Revolution,PS,Racing,Namco,Namco,,1.07,0.17,0.71,0.12,0.07,1996-09-30,
Prince of Persia,PS3,Adventure,Ubisoft,Ubisoft Montreal,8.3,1.07,0.47,0.03,0.41,0.17,2008-12-02,
Endless Ocean,Wii,Adventure,Nintendo,Arika,6.8,1.06,0.43,0.09,0.46,0.09,2008-01-21,
Mercenaries 2: World in Flames,X360,Shooter,Electronic Arts,Pandemic Studios,7.1,1.06,0.65,0.01,0.3,0.1,2008-08-31,
Warhawk,PS3,Shooter,Sony Computer Entertainment,Incognito Entertainment,8.4,1.06,0.49,,0.39,0.17,2007-08-28,
LEGO The Lord of the Rings,PS3,Misc,Warner Bros. Interactive Entertainment,Unknown,,1.06,0.37,,0.52,0.16,2012-11-13,
Sonic Generations,3DS,Platform,Sega,Sonic Team,6.3,1.06,0.44,0.01,0.52,0.08,2011-11-22,
Mortal Kombat: Armageddon,PS2,Fighting,Midway Games,Midway Games,7.4,1.06,0.88,,0.04,0.14,2006-10-09,
Aliens vs Predator,X360,Shooter,Sega,Rebellion Developments,6,1.06,0.55,,0.4,0.11,2010-02-16,
NBA Street V3,PS2,Sports,EA Sports BIG,EA Canada,,1.06,0.52,,0.41,0.14,2005-02-08,
Simple 1500 Series Vol. 1: The Mahjong,PS,Misc,D3 Publisher,Chat Noir,,1.06,,0.99,,0.07,1998-10-22,
Spider-Man 2,GBA,Platform,Activision,Digital Eclipse,7,1.06,0.76,,0.28,0.02,2004-06-29,
Sega Superstars Tennis,Wii,Sports,Sega,Sumo Digital,7,1.06,0.28,,0.65,0.13,2008-03-18,
NFL Blitz,N64,Sports,Midway Games,Midway Games,,1.06,1.02,,0.04,0.01,1998-09-09,
Seek and Destroy,PS2,Racing,Conspiracy Entertainment,Barnhouse Effect,5.6,1.06,0.52,,0.4,0.14,2002-12-11,
Football Manager 2013,PC,Sports,Sega,Sports Interactive,,1.06,,,0.96,0.1,2012-11-01,2018-01-05
MLB The Show 18,PS4,Sports,Sony Interactive Entertainment,SIE San Diego Studio,,1.06,0.86,,,0.2,2018-03-27,2018-09-17
NCAA Football 99,PS,Sports,EA Sports,EA Tiburon,,1.06,0.59,,0.4,0.07,1998-08-01,
Darksiders,X360,Action,THQ,Vigil Games,7.8,1.06,0.67,0.01,0.28,0.1,2010-01-05,
Freekstyle,PS2,Racing,EA Sports BIG,Page 44 Studios,,1.06,0.52,,0.41,0.14,2002-06-17,
DiRT 3,PS3,Racing,Codemasters,Codemasters,9,1.06,0.27,0.01,0.58,0.2,2011-05-24,
Hulk,PS2,Action,Universal Interactive,Radical Entertainment,,1.06,0.52,,0.41,0.14,2003-05-27,
Lego Marvel Super Heroes: Universe in Peril,3DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,1.05,0.42,0.04,0.5,0.08,2013-10-22,2018-01-04
Disney Infinity,PS3,Misc,Disney Interactive Studios,Unknown,,1.05,0.53,,0.34,0.18,2013-08-18,
NBA 2K3,PS2,Sports,Sega,Visual Concepts,,1.05,0.51,,0.4,0.13,2002-10-08,
Adventure Island,NES,Platform,Hudson Soft,Hudson Soft / West One,,1.05,,1.05,,0,1988-09-01,
Derby Stallion 96,SNES,Sports,ASCII Entertainment,ASCII Entertainment,,1.05,,1.04,,0.01,1996-03-15,
The Simpsons: Road Rage,XB,Racing,Electronic Arts,Radical Entertainment,,1.05,0.78,,0.26,0.01,2001-12-01,
Forza Motorsport,XB,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,1.05,0.52,,0.51,0.02,2005-05-03,
Rocksmith 2014,PS3,Music,Ubisoft,Ubisoft San Francisco,9.1,1.05,0.56,0.05,0.26,0.17,2013-10-22,2018-03-08
DiRT,PS3,Racing,Codemasters,Codemasters,8.3,1.05,0.16,,0.66,0.23,2007-09-11,
Dave Mirra Freestyle BMX,PS,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",7.4,1.05,0.91,,0.11,0.03,2000-09-26,
The Evil Within 2,PS4,Action,Bethesda Softworks,Tango Gameworks,,1.05,0.31,0.09,0.49,0.15,2017-10-13,2018-05-10
Disney Universe,Wii,Action,Disney Interactive Studios,Disney Interactive Studios,,1.05,0.66,,0.28,0.1,2011-10-25,
Virtua Tennis 3,PS3,Sports,Sega,Sega-AM3,,1.05,0.23,0.03,0.58,0.21,2007-03-20,
Tag Team Match M.U.S.C.L.E.,NES,Fighting,Bandai,Bandai,,1.05,,1.05,,0,1986-10-01,
Sonic & SEGA All-Stars Racing,DS,Racing,Sega,Sumo Digital,8.3,1.05,0.43,,0.51,0.11,2010-02-23,
Imagine: Animal Doctor,DS,Simulation,Ubisoft,Virtual Toys / Lexis Numerique,,1.05,0.45,,0.48,0.11,2007-10-23,2018-09-17
UFC Undisputed 3,PS3,Fighting,THQ,Yukie's Osaka,,1.05,0.55,0.03,0.33,0.14,2012-02-14,
Cosmic Ark,2600,Shooter,Imagic,Imagic,,1.05,0.99,,0.05,0.01,1982-01-01,
MySims Agents,Wii,Adventure,Electronic Arts,EA Redwood Shores,7.5,1.05,0.63,0,0.32,0.1,2009-09-29,
Resident Evil: The Darkside Chronicles,Wii,Shooter,Capcom,"Cavia, inc.",7.2,1.05,0.46,0.2,0.31,0.09,2009-11-17,
Dora the Explorer: Dora Saves the Mermaids,DS,Platform,2K Play,Black Lantern Studios,,1.05,0.97,,0.01,0.08,2007-11-05,
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,Shooter,Sony Computer Entertainment,Zipper Interactive,8.2,1.05,0.81,,0.11,0.13,2006-11-07,
Call of Duty 4: Modern Warfare,DS,Shooter,Activision,n-Space,7.3,1.05,0.95,0.01,0.02,0.08,2007-11-05,
Defender,2600,Shooter,Atari,Atari,,1.05,0.99,,0.05,0.01,1981-01-01,
Arc the Lad II,PS,Role-Playing,Sony Computer Entertainment,ARC Entertainment,,1.05,,0.92,,0.13,1996-06-20,
Brink,X360,Shooter,Bethesda Softworks,Splash Damage,6.8,1.04,0.59,0.01,0.35,0.09,2011-05-10,
Dance on Broadway,Wii,Misc,Ubisoft,Longtail Studios,,1.04,0.27,,0.65,0.12,2010-06-15,
Prey (2017),PS4,Shooter,Bethesda Softworks,Arkane Studios,,1.04,0.25,0.02,0.62,0.16,2017-05-05,2018-01-18
Mega Man X4,PS,Platform,Capcom,Capcom,,1.04,0.45,0.22,0.3,0.07,1997-01-01,
Disney Infinity 2.0: Marvel Super Heroes,PS3,Action-Adventure,Disney Interactive Studios,Avalanche Software,,1.04,0.52,,0.34,0.18,2014-09-23,2018-02-06
ZhuZhu Pets,DS,Simulation,Activision,Black Lantern Studios,,1.04,0.68,,0.27,0.09,2010-03-23,
Aliens vs Predator,PS3,Shooter,Sega,Rebellion Developments,6.1,1.04,0.41,,0.46,0.18,2010-02-16,
Sleeping Dogs,PS3,Action-Adventure,Square Enix,United Front Games,8.1,1.04,0.31,0.05,0.5,0.17,2012-08-14,2018-03-07
Legacy of Kain: Soul Reaver,PS,Adventure,Eidos Interactive,Crystal Dynamics,8.9,1.04,0.58,,0.4,0.07,1999-08-16,
Diablo III: Ultimate Evil Edition,XOne,Role-Playing,Blizzard Entertainment,Blizzard Entertainment,,1.04,0.62,,0.32,0.09,2014-08-19,2019-03-25
Need for Speed: Most Wanted,XB,Racing,Electronic Arts,EA Canada,8.5,1.04,0.53,,0.46,0.05,2005-11-15,
MVP Baseball 2003,PS2,Sports,EA Sports,EA Sports,,1.04,0.51,,0.4,0.13,2003-03-10,
WipEout Pure,PSP,Racing,Sony Computer Entertainment,Studio Liverpool,9.1,1.04,0.47,,0.34,0.23,2005-03-16,2018-09-16
The Simpsons Game,X360,Platform,Electronic Arts,EA Redwood Shores,6.9,1.04,0.54,,0.39,0.11,2007-10-30,
ATV: Quad Power Racing,PS,Racing,Acclaim Entertainment,Climax Group,,1.04,0.58,,0.39,0.07,2000-08-23,
Bomberman 64,N64,Puzzle,Hudson Soft,Hudson Soft,6.1,1.04,0.5,0.31,0.2,0.03,1997-12-02,
Jeremy McGrath Supercross 98,PS,Racing,Acclaim Entertainment,Acclaim Entertainment,,1.04,0.91,,0.1,0.03,1998-05-31,
MotorStorm: Arctic Edge,PSP,Racing,Sony Computer Entertainment,Bigbig Studios,7.7,1.04,0.16,0,0.58,0.3,2009-09-29,
Naruto: Clash of Ninja 2,GC,Fighting,D3 Publisher,8ing/Raizing,7.4,1.04,0.44,0.45,0.12,0.03,2006-09-26,
LEGO Pirates of the Caribbean: The Video Game,X360,Action,Disney Interactive Studios,Traveller's Tales,7.2,1.04,0.54,,0.4,0.1,2011-05-10,
WWE SmackDown vs. Raw 2010,X360,Fighting,THQ,JAKKS Pacific,8.2,1.04,0.56,0.01,0.37,0.1,2009-10-20,
Dance Dance Revolution SuperNOVA,PS2,Simulation,Konami,Konami Computer Entertainment Tokyo,,1.04,0.87,,0.03,0.14,2006-09-26,
MX vs. ATV Unleashed,PS2,Racing,THQ,Rainbow Studios,,1.03,0.86,,0.03,0.14,2005-03-16,
Just Dance 2014,X360,Music,Ubisoft,Ubisoft Paris,7.6,1.03,0.75,,0.18,0.1,2013-10-08,2018-03-08
Sonic Unleashed,PS3,Platform,Sega,Sonic Team,5.3,1.03,0.56,0.01,0.32,0.14,2008-12-09,
Bomberman,NES,Puzzle,Hudson Soft,Hudson Soft,,1.03,0.18,0.85,,,1989-01-01,
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,Shooter,Ubisoft,Red Storm Entertainment / Ubisoft Paris,,1.03,0.34,0.02,0.48,0.19,2007-08-23,
Junior Brain Trainer,DS,Misc,Take-Two Interactive,Sanuk Games,,1.03,0.23,,0.71,0.09,2009-11-03,
The Elder Scrolls III: Morrowind Game of the Year Edition,XB,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.3,1.03,0.77,,0.22,0.04,2003-10-31,
Tomb Raider,PC,Action,Eidos Interactive,Core Design Ltd.,8.7,1.03,0.96,,0.07,,1996-11-14,
NCAA March Madness 2004,PS2,Sports,EA Sports,NuFX,,1.03,0.5,,0.39,0.13,2003-11-17,
Guinness World Records: The Videogame,Wii,Action,Warner Bros. Interactive,Traveller's Tales,,1.03,0.46,,0.47,0.11,2008-11-11,
FIFA Soccer 08,Wii,Sports,EA Sports,EA Canada,,1.03,0.32,0.01,0.59,0.12,2007-10-09,
Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,Spike / Bandai Namco Games,7.5,1.03,0.32,0.26,0.36,0.08,2007-12-03,
LEGO Indiana Jones: The Original Adventures,PS3,Adventure,LucasArts,Traveller's Tales,7.7,1.03,0.44,,0.43,0.17,2008-06-03,
Disney Fairies: Tinker Bell and the Lost Treasure,DS,Adventure,Disney Interactive Studios,Hyde,,1.03,0.57,0.02,0.35,0.1,2009-10-27,
Petz: Catz 2,DS,Simulation,Ubisoft,Yuke's Media Creations,,1.02,0.51,,0.4,0.11,2007-11-14,
Shrek 2,GC,Platform,Activision,"Luxoflux, Inc.",6.9,1.02,0.73,0.01,0.26,0.03,2004-04-28,
Dead Space 3,PS3,Shooter,Electronic Arts,Visceral Games,,1.02,0.45,,0.4,0.17,2013-02-05,
Assassin's Creed: Rogue,X360,Action,Ubisoft,Ubisoft Sofia,,1.02,0.59,,0.34,0.09,2014-11-11,2018-01-14
The Lost World: Jurassic Park,PS,Action,Electronic Arts,DreamWorks Interactive,,1.02,0.57,,0.39,0.07,1997-08-31,
Bulletstorm,X360,Shooter,Electronic Arts,People Can Fly,8.5,1.02,0.61,0.01,0.32,0.08,2011-02-22,
Tiger Woods PGA Tour 08,Wii,Sports,Electronic Arts,EA Salt Lake,7.4,1.02,0.93,,0.01,0.08,2007-08-28,
Pok̩mon Conquest,DS,Role-Playing,Nintendo,Tecmo Koei Games,,1.02,0.56,0.37,0.05,0.05,2012-06-18,2018-07-30
Madden NFL 07,XB,Sports,EA Sports,EA Tiburon,8.4,1.02,0.97,,0.03,0.03,2006-08-22,
The Elder Scrolls Online,PC,MMO,Bethesda Softworks,ZeniMax Online Studios,,1.02,0.35,,0.59,0.08,2014-04-04,2018-09-15
LEGO Indiana Jones 2: The Adventure Continues,X360,Adventure,LucasArts,Traveller's Tales,,1.02,0.62,,0.31,0.09,2009-11-17,
Harry Potter and the Prisoner of Azkaban,PS2,Adventure,Electronic Arts,Electronic Arts,,1.02,0.5,,0.39,0.13,2004-06-02,
Wall-E,Wii,Platform,THQ,Heavy Iron Studios,,1.02,0.51,,0.4,0.11,2008-06-24,
Rock Band 2,Wii,Misc,MTV Games,Harmonix Music Systems,9,1.02,0.93,,0.01,0.08,2008-12-18,
LEGO Jurassic World,PS3,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.02,0.36,,0.49,0.17,2015-06-12,2018-04-06
Naruto: Clash of Ninja Revolution,Wii,Fighting,Tomy Corporation,8ting/Raizing,,1.02,0.44,,0.46,0.11,2007-10-23,
Just Cause 3,XOne,Action-Adventure,Square Enix,Avalanche Studios,7,1.01,0.52,,0.41,0.09,2015-12-01,2018-04-04
NBA 2K16,X360,Sports,2K Sports,Visual Concepts,,1.01,0.86,,0.05,0.11,2015-09-29,2018-03-28
LEGO Marvel's Avengers,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.01,0.31,0.01,0.53,0.16,2016-01-26,2018-04-06
LEGO Jurassic World,X360,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.01,0.51,,0.41,0.09,2015-06-12,2018-04-06
LEGO Harry Potter: Years 5-7,X360,Action,Warner Bros. Interactive,Traveller's Tales,,1.01,0.51,,0.41,0.09,2011-11-11,
Evolve,PS4,Shooter,2K Games,Turtle Rock Studios,,1.01,0.38,0.05,0.41,0.16,2015-02-10,2018-05-10
Madden NFL 16,X360,Sports,EA Sports,EA Tiburon,8,1.01,0.88,,0.02,0.11,2015-08-25,2018-03-31
Pong: The Next Level,PS,Puzzle,Hasbro Interactive,Supersonic Software,,1.01,0.56,,0.38,0.07,1999-10-31,
MLB 15: The Show,PS4,Sports,Sony Computer Entertainment America,SCE San Diego Studio,,1.01,0.75,,0.08,0.19,2015-03-31,2018-05-01
Championship Manager 3,PC,Sports,Eidos Interactive,Sports Interactive,,1.01,,,0.93,0.08,2003-11-20,
F1 2012,PS3,Racing,Codemasters,Codemasters Birmingham,7.9,1.01,0.12,0.05,0.65,0.18,2012-09-18,2018-03-08
Prince of Persia,X360,Adventure,Ubisoft,Ubisoft Montreal,8.2,1.01,0.54,0.02,0.34,0.1,2008-12-02,
NBA Jam Tournament Edition,SNES,Sports,Acclaim Entertainment,Iguana Entertainment,,1.01,0.87,,0.12,0.02,1995-02-23,
NBA 2K10,X360,Sports,2K Sports,Visual Concepts,8.4,1.01,0.91,0,0.02,0.08,2009-10-06,
The Simpsons Game,Wii,Platform,Electronic Arts,EA Redwood Shores,,1.01,0.45,,0.46,0.11,2007-10-30,
Steep,PS4,Sports,Ubisoft,Ubisoft Annecy,,1.01,0.23,0.02,0.6,0.15,2016-12-02,
EyePet,PS3,Simulation,Sony Computer Entertainment,SCEE London Studio,6.9,1.01,0.37,0.04,0.52,0.09,2010-09-17,
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,Sports,Konami,Konami Computer Entertainment Tokyo,,1,0.08,0.02,0.9,,2007-02-06,
PES 2009: Pro Evolution Soccer,X360,Sports,Konami,Konami,,1,0.13,0.03,0.76,0.09,2008-11-11,
NFL GameDay 2001,PS,Sports,Sony Computer Entertainment,989 Sports,,1,0.56,,0.38,0.07,2000-10-30,
NBA Live 97,PS,Sports,EA Sports,Electronic Arts,,1,0.55,,0.38,0.07,1996-10-31,
Excitebike 64,N64,Racing,Nintendo,Left Field Productions,8.9,1,0.65,0.19,0.15,0.01,2000-04-30,
Dynasty Warriors 3: Xtreme Legends,PS2,Action,KOEI,Omega Force,,1,0.13,0.74,0.1,0.03,2003-01-11,
Far Cry: Primal,XOne,Action-Adventure,Ubisoft,Ubisoft Montreal,7.8,1,0.51,,0.41,0.09,2016-02-23,2018-04-03
Rayman Origins,PS3,Platform,Ubisoft,Ubisoft,8.5,1,0.33,0.01,0.5,0.16,2011-11-15,
Breath of Fire III,PS,Role-Playing,Capcom,Capcom,7.6,1,0.29,0.46,0.19,0.07,1998-04-30,
Road & Track Presents: The Need for Speed,PS,Racing,Electronic Arts,EA Canada,,1,0.56,,0.38,0.07,1996-01-01,
1942,NES,Shooter,Capcom,Capcom,,1,0.65,0.21,0.14,,1986-11-01,
Just Dance 2017,Wii,Music,Ubisoft,Ubisoft Paris,,1,0.4,,0.51,0.08,2016-10-25,2018-04-06
Ford Racing 2,PS2,Racing,Gotham Games,Razorworks Studios,,1,0.49,,0.38,0.13,2003-10-28,
Guitar Hero: Aerosmith,PS3,Misc,Activision,Neversoft,,1,0.73,0,0.15,0.11,2008-06-29,
Jampack Winter 2000,PS,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,,1,0.55,,0.38,0.07,2000-11-07,
Dead Space 3,X360,Shooter,Electronic Arts,Visceral Games,,1,0.64,,0.27,0.09,2013-02-05,2018-02-02
Tom Clancy's Splinter Cell: Blacklist,X360,Action-Adventure,Ubisoft,Ubisoft Toronto,8.4,1,0.57,0.01,0.33,0.09,2013-08-20,2018-03-08
NERF N-Strike Elite,Wii,Shooter,Electronic Arts,EA Salt Lake,7.5,1,0.93,,,0.07,2009-10-26,
NCAA Football 12,X360,Sports,EA Sports,EA Tiburon,7.8,1,0.94,,,0.06,2011-07-12,
SoulCalibur II,XB,Fighting,Namco,Namco,,1,0.78,0.03,0.18,0,2003-08-27,
UFC Undisputed 3,X360,Fighting,THQ,Yukie's Osaka,,1,0.72,0,0.2,0.08,2012-02-14,
Dead or Alive 2,PS2,Fighting,Tecmo,Team Ninja,,1,0.3,0.38,0.24,0.08,2000-03-30,
Puzzler Collection,DS,Puzzle,Zoo Digital Publishing,Route 1 Games,,0.99,0.16,,0.78,0.04,2008-08-05,
Dragon Age: Inquisition,XOne,Role-Playing,Electronic Arts,BioWare Edmonton,,0.99,0.63,0,0.27,0.09,2014-11-18,2019-01-05
NFL Fever 2002,XB,Sports,Microsoft,Microsoft,,0.99,0.74,,0.21,0.04,2001-11-14,2018-09-25
Rocksmith 2014,X360,Music,Ubisoft,Ubisoft San Francisco,8.4,0.99,0.73,0,0.16,0.1,2013-10-22,2018-03-08
Cars: Race-O-Rama,Wii,Racing,THQ,Rainbow Studios,,0.99,0.61,,0.29,0.09,2009-10-13,
The Bouncer,PS2,Action,Square,SquareSoft,,0.99,0.3,0.38,0.23,0.08,2001-03-05,
Tales of Graces f,PS3,Role-Playing,Namco Bandai,Namco Tales Studio,,0.99,0.28,0.45,0.19,0.07,2012-03-13,
Army of Two: The 40th Day,X360,Shooter,Electronic Arts,EA Montreal,7.1,0.99,0.65,0,0.24,0.09,2010-01-12,
DiRT 2,PS3,Racing,Codemasters,Codemasters,8.8,0.99,0.27,0,0.53,0.19,2009-09-08,
PlayStation All-Stars Battle Royale,PS3,Fighting,Sony Computer Entertainment,SuperBot Entertainment,,0.99,0.5,0.04,0.28,0.16,2012-11-20,2018-01-12
Midnight Club: LA Remix,PSP,Racing,Rockstar Games,Rockstar London,7.7,0.99,0.52,,0.28,0.19,2008-10-20,
Apollo Justice: Ace Attorney,DS,Adventure,Capcom,Capcom,8,0.99,0.28,0.64,0.05,0.03,2008-02-19,
The Simpsons: Hit & Run,GC,Racing,VU Games,Radical Entertainment,8.2,0.99,0.77,,0.2,0.03,2003-09-16,
Haze,PS3,Shooter,Ubisoft,Free Radical Design,5.6,0.99,0.49,0.02,0.33,0.15,2008-05-20,
Oddworld: Abe's Exoddus,PS,Platform,GT Interactive,Oddworld Inhabitans,8.6,0.99,0.55,,0.38,0.06,1998-11-17,
Shadow The Hedgehog,GC,Platform,Sega,Sonic Team,4.9,0.99,0.76,,0.2,0.03,2005-11-15,
Disney Epic Mickey 2: The Power of Two,Wii,Platform,Disney Interactive Studios,Junction Point Studios,,0.98,0.67,,0.22,0.09,2012-11-18,2018-04-14
Tetris 2,NES,Puzzle,Nintendo,Nintendo,,0.98,0.62,0.21,0.13,0.02,1993-10-01,
Tom Clancy's Splinter Cell: Blacklist,PS3,Action-Adventure,Ubisoft,Ubisoft Toronto,8.3,0.98,0.34,0.06,0.44,0.15,2013-08-20,2018-03-08
Disney Tangled,DS,Action,Disney Interactive Studios,Disney Interactive Studios,,0.98,0.53,,0.37,0.09,2010-11-23,
The Witcher 2: Assassins of Kings,PC,Role-Playing,Atari,CD Projekt Red Studio,8.8,0.98,0.27,,0.56,0.14,2011-05-17,
The LEGO Movie Videogame,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.98,0.33,0.03,0.47,0.16,2014-02-07,2018-03-20
Zoo Tycoon DS,DS,Strategy,THQ,Blue Fang Games,4.6,0.98,0.86,0.01,0.03,0.07,2005-10-11,
Pro Evolution Soccer 2008,PSP,Sports,Konami,Konami,7.8,0.98,0.02,0.19,0.53,0.25,2008-03-12,
WWE 2K19,PS4,Fighting,2K Sports,Visual Concepts,,0.98,0.36,,0.46,0.16,2018-10-09,2018-06-22
Fallout 3,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9,0.98,0.02,,0.88,0.07,2008-10-28,
WWE SmackDown vs Raw 2008,Wii,Fighting,THQ,Yuke's Media Creations,,0.98,0.38,,0.5,0.11,2007-11-13,
Air-Sea Battle,2600,Shooter,Atari,Atari,,0.98,0.91,,0.06,0.01,1977-01-01,
Sniper Elite V2,PS3,Shooter,505 Games,Rebellion Developments,7.4,0.98,0.38,0.06,0.4,0.15,2012-05-02,2018-03-13
Injustice: Gods Among Us Ultimate Edition,PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,,0.98,0.46,,0.35,0.17,2013-11-15,2018-04-22
Madden NFL 10,PS2,Sports,EA Sports,EA Tiburon,,0.98,0.88,,0,0.1,2009-08-14,
Wheel of Fortune,Wii,Misc,THQ,"Pipeworks Software, Inc.",,0.98,0.86,,0.04,0.07,2010-11-02,
